"index","name","lat","lon"
"0","Aero B Ranch Airport","38.704022","-101.473911"
"1","Lowell Field","59.94919968","-151.695999146"
"2","Epps Airpark","34.86479949951172","-86.77030181884766"
"3","Fulton Airport","34.9428028","-97.8180194"
"4","Cordes Airport","34.305599212646484","-112.16500091552734"
"5","Goldstone /Gts/ Airport","35.350498199499995","-116.888000488"
"6","Williams Ag Airport","39.427188","-121.763427"
"7","Grass Patch Airport","28.64550018310547","-82.21900177001953"
"8","River Oak Airport","27.230899810791016","-80.96920013427734"
"9","Lt World Airport","33.76750183105469","-84.06829833984375"
"10","Delta Shores Airport","48.145301818847656","-116.21399688720705"
"11","Goltl Airport","39.724028","-101.395994"
"12","Hammer Airport","41.97840118408203","-89.5604019165039"
"13","Hayenga's Cant Find Farms Airport","40.02560043334961","-89.1229019165039"
"14","Hayden Farm Airport","38.72779846191406","-94.93049621582033"
"15","Robbins Roost Airport","37.409400939941406","-84.61969757080078"
"16","Lejeune Airport","30.13629913330078","-92.4293975830078"
"17","Slater Field","38.75709915161133","-75.75379943847656"
"18","Battle Lake Municipal Airport","46.29999923706055","-95.70030212402344"
"19","Cooper Flying Service Airport","37.202800750732","-94.412399291992"
"20","Bucks Airport","39.47320175170898","-75.1852035522461"
"21","North Raleigh Airport","36.08520126342773","-78.37139892578125"
"22","Weiss Airfield","42.90010070800781","-77.49970245361328"
"23","Gull Bay Landing Airport","36.198598","-96.217693"
"24","Ferrell Field","41.2995","-80.211111"
"25","Mc Kenzie Bridge State Airport","44.1832008362","-122.088996887"
"26","Flying O Airport","34.0093994140625","-80.26719665527344"
"27","Homan Field","44.809158","-96.498897"
"28","Ragsdale Road Airport","35.515899658203125","-85.95359802246094"
"29","Alpine Range Airport","32.607601165771484","-97.24199676513672"
"30","Vaughan Airport","36.57600021","-78.9991684"
"31","Groundhog Mountain Airport","36.66329956054688","-80.49949645996094"
"32","Lower Granite State Airport","46.673500061035","-117.44300079346"
"33","Howell Airport","47.17839813232422","-122.77200317382812"
"34","Northern Lite Airport","44.304298400878906","-89.05010223388672"
"35","Hawks Run Airport","46.25","-117.2490005493164"
"36","Lazy J. Aerodrome","38.82889938354492","-79.86609649658203"
"37","L P Askew Farms Airport","33.03340148925781","-101.93399810791016"
"38","Purkeypile Airport","62.94359970092773","-152.27000427246094"
"39","Ware Island Airport","32.94599914550781","-86.51390075683594"
"40","Swansboro Country Airport","38.79990005493164","-120.73400115966795"
"41","Rybolt Ranch Airport","28.589399337768555","-81.14420318603516"
"42","Cedar Knoll Flying Ranch Airport","28.78190040588379","-81.1592025756836"
"43","The Farm Airport","32.674400329589844","-82.77110290527344"
"44","Stender Airport","41.66109848022461","-90.74130249023438"
"45","Lava Hot Springs Airport","42.6082","-112.031998"
"46","Myers Field","39.8849983215332","-86.50669860839844"
"47","William E. Koenig Airport","39.01620101928711","-90.31819915771484"
"48","Hilliard Airpark","30.68630027770996","-81.90570068359375"
"49","Caldwell Municipal Airport","37.03609848022461","-97.5864028930664"
"50","Flying N Ranch Airport","38.54059982299805","-97.00330352783205"
"51","Barham Airport","32.638999938964844","-91.77369689941406"
"52","Schumaier Restricted Landing Area","38.12580108642578","-89.46389770507812"
"53","Country Breeze Airport","30.70599937438965","-91.07740020751952"
"54","Crystal Lakes Resort Airport","48.789100646972656","-114.87999725341795"
"55","Topsail Airpark","34.47529983520508","-77.5813980102539"
"56","Detour Airport","40.84360122680664","-100.65299987792967"
"57","Moore Airfield","43.6445","-72.086998"
"58","Champion Ranch Airport","33.008611","-104.540278"
"59","Lantana Ranch Airport","38.76390075683594","-119.0270004272461"
"60","Bierly(Personal Use) Airport","40.93059921264648","-77.73889923095703"
"61","Nort's Resort Airport","41.59590148925781","-76.02960205078125"
"62","York Airport","35.032100677490234","-81.25279998779297"
"63","Smith Field","32.73759841918945","-96.4280014038086"
"64","Colonial Air Park","34.99589920043945","-89.73059844970703"
"65","Mims Farm Ultralightport","32.38759994506836","-96.87750244140624"
"66","Duckwater Airport","38.851600646972656","-115.63400268554688"
"67","La Sal Junction Airport","38.30830001831055","-109.39600372314452"
"68","Pickles Airport","39.125","-77.9250030518"
"69","Prehn Cranberry Company Airport","44.0099983215332","-90.38919830322266"
"70","Keyhole Airport","44.347198486328125","-104.81099700927734"
"71","Rustic Wilderness Airport","61.87689971923828","-150.09800720214844"
"72","Bass Field","30.37150001525879","-87.76439666748047"
"73","Shannon Field","34.129600524902344","-90.52400207519533"
"74","Conover Air Lodge Airport","34.761101","-119.058998"
"75","Mc Cullough Airport","37.64329910279999","-106.04699707"
"76","Osborn Airfield","28.52669906616211","-81.87480163574219"
"77","Doug Bolton Field","34.202598571777344","-83.42900085449219"
"78","Etowah Fields Airport","34.17530059814453","-84.92440032958984"
"79","Morgan Ranch Airport","44.55550003051758","-115.30500030517578"
"80","King Ultralightport","40.06230163574219","-86.21050262451172"
"81","Diamond P. Field","40.20890045166016","-85.54080200195312"
"82","Jmj Landing Airport","39.222198486328125","-96.0552978515625"
"83","Garner Field","38.672544","-76.709739"
"84","Nadeau's Airfield","43.5373","-70.929397"
"85","Fairplains Airpark","43.15710067749024","-85.14849853515625"
"86","Greenbush Municipal Airport","48.68330001831055","-96.19200134277344"
"87","Troy Airpark","39.04999923706055","-91.03350067138672"
"88","Watts Field","34.100101470947266","-90.8468017578125"
"89","Benes Service Airport","41.074501037597656","-96.90450286865234"
"90","Paiute Meadows Airport","41.30329895019531","-118.5979995727539"
"91","Zimmerman Airport","41.37639999389648","-83.08329772949219"
