"name","lat","lon"
"Wix Airport","41.40230178833008","-87.81670379638672"
"Heinzman Airport","40.18000030517578","-86.01249694824219"
"Flying H Farms Airport","37.79169845581055","-87.54139709472656"
"Hadley Airport","42.39310073852539","-72.552001953125"
"Maple Ridge Airport","44.08420181274414","-70.6272964477539"
"Nauerth Land Ranch Airport","43.62519836425781","-95.22470092773438"
"Cascade Field","47.267327","-111.71748"
"Mc Donnell Airport","38.4925003052","-94.41249847410002"
"Utirik Airport","11.222","169.852005"
"Pilots Ridge Airport","34.10430145263672","-77.9041976928711"
"Olafson Brothers Airport","48.626399993896484","-97.8290023803711"
"Hyde Ranch Airport","41.5463981628418","-99.3311996459961"
"Llama Ranch Airport","40.58440017700195","-115.2979965209961"
"Talmage Field","40.95840072631836","-72.716796875"
"Gibbs Field","41.418399810791016","-83.01740264892578"
"Sahoma Lake Airport","36.04119873046875","-96.1613998413086"
"Powwatka Ridge Airport","45.85540008544922","-117.48400115966797"
"Sun View Field Airport","39.065947","-94.921703"
"Sandy River Airport","45.401798248291016","-122.22899627685547"
"Barronena Ranch Airport","27.491100311279297","-98.66950225830078"
"A Z Minerals Corporation Airport","37.12080001831055","-109.98600006103516"
"Spangle Field","47.408199310302734","-117.37200164794922"
"Zink Airport","44.028873","-88.883945"
"Aerostone Ranch Airport","45.875","-120.66999816894531"
"Creekside Airport","31.318099975585938","-100.75399780273438"
"Flying W Ranch Airport","60.535833","-150.811387"
"Gray Butte Field","34.5639","-117.675003"
"Hunt's Sky Ranch Airport","33.08169937133789","-116.44100189208984"
"Richards Field","25.558700561523438","-80.51509857177734"
"Cross Creek Farms Airport","29.23940086364746","-81.22200012207031"
"Columbus Southwest Airport","39.91120147705078","-83.18879699707031"
"Middlekoop Airport","41.08829879760742","-92.05460357666016"
"Lanham Field","43.87770080566406","-116.53700256347656"
"Turkey Run Airport","41.13059997558594","-84.99410247802734"
"Schertz Aerial Service - Hudson Airport","40.6375007629","-89.0070037842"
"Van Gorder Airport","40.1786003112793","-88.56900024414062"
"Natchez Trace Farm Airport","37.135101318359375","-85.78939819335938"
"Brunner Airport","42.13610076904297","-88.28759765625"
"Beech Hill Airport","44.66669845581055","-69.8938980102539"
"Rapids Airway Airport","42.53450012207031","-84.62830352783203"
"Helblad Airport","47.985801696777344","-94.68689727783203"
"Airpark Private Airport","39.30120086669922","-91.45149993896484"
"Nick's Flying Service Inc Airport","32.939601898199996","-90.8373031616"
"Pluhar Airport","47.13749777779999","-106.488095"
"Mc Connell Field Airport","41.159999847399995","-101.299003601"
"Emmanuel Airport","39.596801757799994","-75.2334976196"
"Kingston Ranch Airport","35.7555007935","-115.665000916"
"Klaverack Airport","42.262298584","-73.6961975098"
"Collins Landing Strip","44.7499008179","-120.200996399"
"Hensley Airpark","36.183300018299995","-82.67890167239999"
"Pocock Airport","31.7322006226","-97.36889648440001"
"Navajo Mountain Airport","37.0083007812","-110.794998169"
"Saguache Municipal Airport","38.0990833","-106.1743889"
"Manquin Flight Park Ultralightport","37.7144012451","-77.21179962160001"
